รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
23762574879,Jeep JP-EW011 หูฟังบลูทูธไร้สาย HiFi HD Call ลดเสียงรบกวน จับคู่เร็วหูฟังบลูทูธ พร้อมไมโครโฟน,239,100พัน+,Jeep Online Store,8%,฿19.12,https://shopee.co.th/product/1049006465/23762574879,https://s.shopee.co.th/2LYACvTVnP
14690492628,JASMEEN🔥 (พร้อมส่งจากไทย)กระดาษทิชชู่ กระดาษชำระ กระดาษทิชชู่เช็ดหน้า ทิชชู่เช็ดมือ 1ห่อ420 แผ่น หนา5ชั้น 1 ลังมี 20 ห่อ,145,100พัน+,JASMEEN,12%,฿17.40,https://shopee.co.th/product/572525899/14690492628,https://s.shopee.co.th/1Vz3DOWgUG
43852389752,ขาแขวนทีวีแบบเคลื่อนย้ายได้ สแตนเลส แบบตั้งพื้น มีล้อ รถเข็นแนวตั้ง ห้องนอน ห้องนั่งเล่น 32-85 นิ้ว ขาแขวนอเนกประสงค์,3.0พัน,86,Love Home88,8%,฿240.40,https://shopee.co.th/product/410888343/43852389752,https://s.shopee.co.th/1Lfd15XJpF
25925605566,GOOJODOQ GFS001 พัดลมพกพา ความเร็วสูง ทำงานเงียบ ปรับความเร็วได้ มีจอแสดงผล LED,476,20พัน+,GOOJODOQ Store,11%,฿52.36,https://shopee.co.th/product/492970814/25925605566,https://s.shopee.co.th/1qbtc0VPoM
22759332508,FEINODI Wireless Apple CarPlay Dongle แปลงคาร์เพลย์แบบใช้สายจากโรงงานเป็นดองเกิล CarPlay ไร้สาย รองรับการรับชม YouTube/Netflix/ttok บน CARPLAY,1.4พัน,10พัน+,FEINODI_mall.th,15.5%,฿209.25,https://shopee.co.th/product/857994468/22759332508,https://s.shopee.co.th/1gITPhW39L
22513640424,COD ชุดต๊าปเกลียวตัวผู้ ตัวเมีย ( ชุด 12/20 ชิ้น M6-M12/M3-M12 )  ชุดด้ามต๊าป ชุดทำเกลียว ชุดต๊าปเกลียวมือ ชุดต๊าปเกลียว,178,941,Simpler Tools,4%,฿7.12,https://shopee.co.th/product/867010874/22513640424,https://s.shopee.co.th/8pldws4lbk
26259388334,ขาตั้งทีวีสําหรับ LG TV ขาอะไหล่อุปกรณ์เสริมขาตั้งทีวีขาสําหรับ LG 49 50 55 นิ้วทีวี 50UM7300AUE 50UK6300BUB 50UK6500AUA สกรู,443,27,sunnystore5.th,9%,฿39.87,https://shopee.co.th/product/769845788/26259388334,https://s.shopee.co.th/8fSDkZ5Owj
41265464529,Power Bankรองรับการชาร์จอย่างรวดเร็ว 30000mAh พาเวอแบงค์ มีสายในตัว4 พาเวอแบงค์ E35 miniแบตสำรอง,127,2พัน+,dongbao,12%,฿15.24,https://shopee.co.th/product/1587426339/41265464529,https://s.shopee.co.th/9AOULU3Uvq
29430389445,Xiaomi Mi Smart Camera C100 / C200 / C300 / C301 / C400 / C500 Pro / C700 / C300 Dual / C500 Dual กล้องวงจรปิดภายในบ้าน,899,3พัน+,MI Smart Home TH,9%,฿80.91,https://shopee.co.th/product/1401942951/29430389445,https://s.shopee.co.th/90549B48Gp
53256857883,Magic Pocket เก้าอี้แคมป์ปิ้ง พับได้ ปิกนิค รับน้ำหนัก 300กก ขาตั้งอลูมิเนียม ผ้าใบOxford แข็งแรง ทนทาน สีดำ/เขียว/กากี,209,4พัน+,Magic-pocket,9%,฿18.81,https://shopee.co.th/product/948114227/53256857883,https://s.shopee.co.th/8AVx9e7Ixg
27559452698,Vento ขาแขวนทีวีตั้งพื้น 40-75นิ้ว ขาตั้งทีวี ขาแขวนตั้งพื้น สำหรับทีวี มีล้อ เคลื่อนที่ได้,698,10พัน+,VENTO Furniture,8%,฿55.84,https://shopee.co.th/product/320590286/27559452698,https://s.shopee.co.th/80CWxL7wIf
15491998680,Orsen by Eloop EW54 EW55 E53 E43 E59 10000mAh 20000mAh 25000mAh แบตสำรอง PowerBank ชาร์จเร็ว,599,6พัน+,Orsen Eloop Online ,7%,฿41.93,https://shopee.co.th/product/375419813/15491998680,https://s.shopee.co.th/8V8nYG62Hm
10530581438,PASS EDUCATION นิทานป๋องแป๋ง ชุดสุขนิสัยวัยเยาว์ นิทานคำกลอน นิทานภาพ หนังสือเด็กเสริมพัฒนาการ,78,30พัน+,PASS EDUCATION,10%,฿7.80,https://shopee.co.th/product/56460662/10530581438,https://s.shopee.co.th/8KpNLx6fcl
43378080822,ชุดต๊าปเกลียว ท่อเหล็ก ท่อแป๊ป เครื่องมือต๊าปเกลียว ชุดต๊าปเกลียวท่อช่างประปาประปา ขนาด 1/4นิ้ว 1/2นิ้ว 3/4นิ้ว 1นิ้ว,807,69,Pocainoe.th,9%,฿72.63,https://shopee.co.th/product/810036260/43378080822,https://s.shopee.co.th/AAH1XJzgu8
45805779442,ขาตั้งทีวี รองรับ 32-85 นิ้ว ขาตั้งทีวีล้อเลื่อน รับน้ำหนักได้ 150 กก มุมเอียง 15° ขาตั้งทีวีแบบปรับได้,978,1พัน+,Brayco,11%,฿107.58,https://shopee.co.th/product/1704965554/45805779442,https://s.shopee.co.th/9zxbL10KF7
21308951845,🎁 REMAX RPP-20 w1501 มีมอก.แบตเตอรี่สำรอง แบตสำรอง 15000mAh เพาเวอร์แบงค์ ป้องกันกระแสไฟเกิน All in one QC 18W,915,9พัน+,TK powerbank,8%,฿73.20,https://shopee.co.th/product/374944741/21308951845,https://s.shopee.co.th/AUtrvvyQEE
43623352683,เก้าอี้โยก เก้าอี้พักผ่อน ใช้นั่งหรือนอนก็ได้  รับได้ 400kg เก้าอี้โซฟา โซฟาโยกได้ Rocking Chair🔥🔥🔥,879,1พัน+,Samsinte.th,14%,฿123.06,https://shopee.co.th/product/1408815658/43623352683,https://s.shopee.co.th/AKaRjcz3ZD
9234723582,TP Tools เครื่องตัดหญ้าแบตเตอรี่ 12-32V Series เครื่องตัดหญ้า เล็มหญ้า เครื่องเล็มหญ้า ไร้สาย ใช่งานในบ้านน้ำหนักเบา,448,7พัน+,SKY Smart Tools,17%,฿76.16,https://shopee.co.th/product/94518618/9234723582,https://s.shopee.co.th/9V1Kk62EG4
44957425036,ขาตั้งทีวี มีล้อ 32-100 นิ้ว ขาตั้งทีวีมีล้อ รับน้ำหนักได้ 300 กก ท่อสแตนเลสหนา ปรับความสูง ทนทานมั่นคง,924,3พัน+,Brayco,10%,฿92.40,https://shopee.co.th/product/1704965554/44957425036,https://s.shopee.co.th/9KhuXn2rb3
19702433168,[ส่งไว] Orsen by Eloop EW55 / EW40 CCC แบตสำรอง 20000mAh ชาร์จเร็ว 20W ชาร์จไร้สายแม่เหล็ก 15W Qi2 Power Bank Type C,1.3พัน,10พัน+,Orsen & Eloop Thailand,9%,฿119.97,https://shopee.co.th/product/28426506/19702433168,https://s.shopee.co.th/9peB8i0xaA
5012637979,แพ็คเดี่ยว DODOLOVE Standard Soft กางเกงผ้าอ้อม   Size NB-4XL นุ่ม บางเบา ใส่สบาย ผ้าอ้อม มีโลเทปม้วนทิ้ง,128,200พัน+,dodolove,9%,฿11.52,https://shopee.co.th/product/201488045/5012637979,https://s.shopee.co.th/9fKkwP1av9
28424714706,Salinex Mist Baby (Tinynose)สเปรย์น้ำเกลือพ่นจมูก สเปรย์พ่นจมูก Nasal Spray ล้างจมูกสำหรับเด็กอ่อน 80 ml,299,4พัน+,Tinynose Official Store,14%,฿41.86,https://shopee.co.th/product/348738780/28424714706,https://s.shopee.co.th/6AkslyEv1U
28256188599,new ขาตั้งพื้นทีวีห้องนั่งเล่นห้องนอนหรูหราชั้นวางมือถือสแตนเลส31-77นิ้ว,1.8พัน,21,รักบ้าน99,11%,฿197.89,https://shopee.co.th/product/413967207/28256188599,https://s.shopee.co.th/60RSZfFYMT
57100805536,MODOFOไม้เซลฟี่ไร้สาย ขาตั้งกล้อง ไม้เซลฟี่บลูทูธ หมุนได้ 360 องศา พร้อมรีโมทบลูทูธ ยืดได้180ซม พร้อมไฟ,279,695,MODOFO Mall Store,22%,฿61.38,https://shopee.co.th/product/1001467645/57100805536,https://s.shopee.co.th/6VNjAaDeLa
13515681860,INGCO(อิงโก้)| ชุดดอกสว่านเจาะเหล็ก 12 ชิ้น AKDB1125,152,190,INGCO THAILAND OFFICIAL,12%,฿18.24,https://shopee.co.th/product/219850536/13515681860,https://s.shopee.co.th/6L4IyHEHgZ
3539636968,ยกลัง 4แพ็ค DODOLOVE Standard Soft ผ้าอ้อมเด็ก กางเกงผ้าอ้อม ผ้าอ้อม Size NB-4XL นุ่ม บางเบา ใส่สบาย,818,100พัน+,dodolove,9%,฿73.62,https://shopee.co.th/product/201488045/3539636968,https://s.shopee.co.th/5VVBykHSNQ
25001292901,💥รับประกัน 50 ปี💥ขาแขวนทีวี ขาแขวนทีวีติดผนัง ขายึดทีวี ปรับมุมได้ 26-65 LCD/LED ที่แขวนทีวี ทีวีติดผนัง ขาแขวนยึดทีวี,399,3พัน+,3AiHome,7%,฿27.93,https://shopee.co.th/product/421589198/25001292901,https://s.shopee.co.th/5LBlmRI5iP
24240277068,พัดลมพกพา Turbo รอบสูง ชาร์จ USB พัดลมมือถือ Digital Display มือถือพัดลมขนาดเล็ก ปรับระดับได้ 100 ระดับ,68,30พัน+,บ๊อบ ไทยแลนด์,8%,฿5.44,https://shopee.co.th/product/1118936514/24240277068,https://s.shopee.co.th/5q82NMGBhW
46662165353,ดอกถอนเกลียวซ้าย ชุดถอนเกลียว ดอกถอนเกลียว ที่ถอดสกรู เซ็ต 8 ชิ้นขนาด 4-50 mm พร้อมกล่องพลาสติก ถอนน็อต สกรู หักคารู,192,5,WOOK Shop,11%,฿21.12,https://shopee.co.th/product/1834582060/46662165353,https://s.shopee.co.th/5focB3Gp2V
22403637393,ทิชชู่ POP เล็ก แบบเหนียวนุ่ม ทิชชู่อเนกประสงค์ หนา4ชั้น ราคาสบายกระเป๋า พกพาสะดวก มียกลัง,48,40พัน+,Leeshop1688,6%,฿2.88,https://shopee.co.th/product/80136428/22403637393,https://s.shopee.co.th/7VGGMQ9qJs
26726174864,(New) Xiaomi TV A Pro 65 2025｜หน้าจอ QLED 4K พร้อมสีอันแม่นยำ｜พื้นผิวโลหะเกรดพรีเมียม｜ดีไซน์ขอบจอบางพิเศษ,19.0พัน,5,MI Smart Home TH,9%,"฿1,709.10",https://shopee.co.th/product/1401942951/26726174864,https://s.shopee.co.th/7KwqA7ATer
22034887267,🚐แนะนําโดยแพทย์กระดูกและข้อ🚗CARMAN พนักพิงศีรษะ หมอนรองคอ หมอนรองหลังในรถ 1ชุด ป้องกันคอและเอว,125,20พัน+,haono.1,10%,฿12.50,https://shopee.co.th/product/476649494/22034887267,https://s.shopee.co.th/7pt6l28Zdy
57354328362,Keenness ชุดต๊าปเกลียว นอก-ใน 12/20/40 ชิ้น ขนาด M3-M12 เกรดอุตสาหกรรม ซ่อมเกลียวเครื่องยนต์ ท่อไอเสีย แข็งแรง,433,11,Happy Tools เครื่องมือช่าง,10%,฿43.30,https://shopee.co.th/product/1668151622/57354328362,https://s.shopee.co.th/7fZgYj9Cyx
41523284099,พร้อมส่ง⚡️เต็นท์เป่าลม MOUNTAINHIKER เต็นท์แคมปิ้ง 5-10 คน 6.3 ตรม กันน้ำระบายอากาศได้ เต็นท์แคมปิ้งแบบพกพา,6.5พัน,1พัน+,mountainhiker.th,7%,฿454.86,https://shopee.co.th/product/852968504/41523284099,https://s.shopee.co.th/6q0ZZCCNfo
29000447905,Homemark ขาตั้งทีวี มีชั้นวางของ Tv 32-65นิ้ว ขาแขวนทีวี ตั้งพื้น tv LED Plasma LCD ทีวี ขาแขวนจอทีวี จับจอ ตั้งจอ,749,6พัน+,Home mark,6%,฿44.94,https://shopee.co.th/product/811438002/29000447905,https://s.shopee.co.th/6fh9MtD10n
26074231825,ENYX ชุดชาร์จ PD 30W S-4X ที่ชาร์จ USB C Fast Charger อะแดปเตอร์ สำหรับ iPhone 16 IP15 IP14 Samsung,396,8พัน+,Enyx Official Store,17%,฿67.32,https://shopee.co.th/product/1027683441/26074231825,https://s.shopee.co.th/7AdPxoB6zu
11675739336,เตียงนอนเด็ก เตียงนอนเด็กแรกเกิด ไม้ มีล้อ 102/104/120cm แถมชุด 5 ชิ้น เตียงเด็กแรกเกิด,1.6พัน,6พัน+,PlayPark.Mall,9%,฿148.41,https://shopee.co.th/product/594943570/11675739336,https://s.shopee.co.th/70JzlVBkKt
44475155616,[8.8]ที่นอนเสริมความนุ่ม ท็อปเปอร์ ขนาด 3.5 ฟุต/5 ฟุต/6 ฟุต ใยหนาพิเศษ 12 ชั้น นุ่มสบายมาก topper,269,7พัน+,Smiling_Thailand_Mall.th,10%,฿26.90,https://shopee.co.th/product/1489038335/44475155616,https://s.shopee.co.th/3LQhOlPhmC
48265374993,ขาตั้งทีวีล้อเลื่อน 32-85 นิ้ว ล้อเลื่อนพร้อมเบรก ขาตั้งทีวีตั้งพื้น ใช้ได้หลายยี่ห้อ แข็งแรงไม่โยก รองรับจอใหญ่ 300กก,1.1พัน,5,ee4y_byah4,11%,฿116.49,https://shopee.co.th/product/1867956830/48265374993,https://s.shopee.co.th/3Vk7b4P4RF
22007971142,[ส่งเร็ว] Orsen by Eloop EW35 EW40 CCC / EW54 EW55 E43 E53 E59 แบตสำรอง 10000-25000mAh ชาร์จเร็ว 20W/45W ไร้สาย มอก.,729,9พัน+,Orsen & Eloop Thailand,9%,฿65.61,https://shopee.co.th/product/28426506/22007971142,https://s.shopee.co.th/3g3XnNOR6I
19835714170,LENODI ตู้เย็นมินิ 5.2Q สองประตู ประหยัดพลังงาน ตู้เย็นในบ้านขนาดเล็ก ตู้เย็น 2 ประตู รุ่นEPLD-128A  จุได้ถึง 148 ลิตร,1.7พัน,20พัน+,LENODI Home Appliances Store,5%,฿83.90,https://shopee.co.th/product/378359381/19835714170,https://s.shopee.co.th/3qMxzgNnlL
6313552121,ชุด ดอกต๊าปเกลียว ต๊าปเกลียวชุดเอนกประสงค์  40ชิ้น,699,563,nppaint,7%,฿48.93,https://shopee.co.th/product/146649917/6313552121,https://s.shopee.co.th/2gB0bXSF88
50351103138,"Homemark ขาแขวนติดผนัง รุ่น WMB3270 ปรับยืดหด ซ้าย-ขวา ได้ รองรับขนาด 32-70นิ้ว LED,LCD ,Plasma รับน้ำหนักได้ถึง 50 กิโล",397,2พัน+,Home mark,6%,฿23.82,https://shopee.co.th/product/811438002/50351103138,https://s.shopee.co.th/2qUQnqRbnB
22390716846,ไม้เซลฟี่บลูทูธ รุ่น K28P หมุนได้ 360 องศา พร้อมรีโมทบลูทูธ ยืดได้1.75ซม.ขาตั้งTripod พร้อมส่ง,149,50พัน+,บ๊อบ ไทยแลนด์,8%,฿11.92,https://shopee.co.th/product/1118936514/22390716846,https://s.shopee.co.th/30nr09QySE
23163695162,กระทะเหล็กขนาด 32 ซม. แถมฟรีตะหลิว ตราครัวบ้านสวนทวี,489,2พัน+,ครัวบ้านสวนทวี,10%,฿48.90,https://shopee.co.th/product/60692643/23163695162,https://s.shopee.co.th/3B7HCSQL7H
15506636271,ดอกต๊าปเกลียว STANNOX ดอกต๊าป ดอกสว่านต๊าปเกลียว(แผงละ 6 ดอก),210,2พัน+,STANNOX_OFFICIAL,12%,฿25.20,https://shopee.co.th/product/48557930/15506636271,https://s.shopee.co.th/4fw4zDKd4a
10016158404,Sure Vision ขาแขวนทีวี ขนาด 32-75 นิ้ว รุ่น H-75S (ปรับหันซ้ายขวา และ ปรับก้มเงยได้),974,5พัน+,sure_vision_ขาแขวนทีวี,11%,฿107.14,https://shopee.co.th/product/3348094/10016158404,https://s.shopee.co.th/4qFVBWJzjd
24463808208,🔥ส่งด่วนทันที🔥 DAHUA ชนิด ANALONG กล้องวงจรปิด รุ่น DH-HAC-B2A21P-U-IL-A Smart Dual Light,168,6พัน+,SPY CCTV,11%,฿18.48,https://shopee.co.th/product/241069814/24463808208,https://s.shopee.co.th/50YvNpJMOg
22468364283,โคมไฟตั้งโต๊ะ led โคมไฟหัวเตียง แสงอบอุ่นLED สำหรับห้องนอน ทรงกระบอก/ร่ม/สี่เหลี่ยม สไตล์มินิมอล,125,10พัน+,goldenplace,12%,฿15.00,https://shopee.co.th/product/229005063/22468364283,https://s.shopee.co.th/5AsLa8Ij3j
29221007813,Telesin Mobile phone/GoPro neck bracket วงเล็บแขวนคอ ที่วางโทรศัพท์มือถือ แบบคล้องคอ พร้อมที่วางโทรศัพท์ แบบแม่เหล็ก ปลดเร็ว ปรับได้หลายมุม พร้อมสายคล้อง และแหวนโลหะ สําหรับ iPhone 15 14 13 12 Android Smar,402,1พัน+,Camera Connect,8%,฿32.16,https://shopee.co.th/product/1401687190/29221007813,https://s.shopee.co.th/40gOBzNAQW
46964403440,"ทีวี XIAOMI TV 55"" 2026 รุ่น L55MB-ASEA เกรดB มีตำหนิ",8.5พัน,0,หจก.เคเอ็น.อิเล็กทรอนิกส์,9%,฿764.10,https://shopee.co.th/product/88477322/46964403440,https://s.shopee.co.th/4AzoOIMX5Z
21650286130,ลา โรช-โพเซย์ La Roche-Posay CICAPLAST BAUME B5+ บาล์ม บาล์มบำรุงผิวช่วยปลอบประโลมและฟื้นบำรุง บำรุงผิว 40ml.,610,300พัน+,LA ROCHE-POSAY Official Shop,2%,฿12.20,https://shopee.co.th/product/56542501/21650286130,https://s.shopee.co.th/4LJEabLtkc
26275045196,📌ส่งฟรี/มีไลฟ์📌*กดใส่ตะกร้า2-3ชิ้น ตามโปรในรูป*🍈 เมล่อน 0.8-1 กิโลกรัม ( 1 ลูก )🍈 หวาน กรอบ cookingrun 📌,129,8พัน+,Cookingrun,6%,฿7.74,https://shopee.co.th/product/784169/26275045196,https://s.shopee.co.th/4VcemuLGPf
17848691061,Deli ชุดเครื่องมือช่าง เครื่องมืออุปกรณ์ช่าง 112ชิ้น เช็ทเครื่องมือ พร้อมใช้งาน ช่างไฟฟ้า Tool Set,759,3พัน+,Deli Tools Officialshop,12%,฿91.08,https://shopee.co.th/product/431657423/17848691061,https://s.shopee.co.th/gPwDrZrBw
51359923948,"NB Ergonomic SP5 Wall Mount TV Stand ขาตั้งทีวี มีล้อ สำหรับจอ  75-110"" นิ้ว",2.9พัน,15,NB ERGONOMIC,7%,฿201.11,https://shopee.co.th/product/1791650052/51359923948,https://s.shopee.co.th/qjMQAZDqz
41568821025,ราวตากผ้า DIY ราวตากผ้าแบบตั้งพื้น ไม่ต้องเจาะ ไม้แขวนเสื้อปรับระดับได้ ประหยัดพื้นที่ กันน้ำและกันสนิม รับน้ำหนัก,1.1พัน,24,QUANU,7%,฿79.45,https://shopee.co.th/product/1327040194/41568821025,https://s.shopee.co.th/112mcTYaW2
8818240698,Enfant (อองฟองต์) ผลิตภัณฑ์ทำความสะอาดจุกนมและขวดนม สูตร Double Cleanser 1ขวด 700ml.,116,70พัน+,enfant.official,9%,฿10.44,https://shopee.co.th/product/31208415/8818240698,https://s.shopee.co.th/1BMComXxB5
52560521165,สายLoop เปลี่ยนเป็นสายwhoop มีโลโก้ W ส่งจากไทย 🇹🇭สินค้านำเข้าสายเทียบเกรดพรีเมี่ยม,1.3พัน,922,Style.storeeee,12%,฿150.00,https://shopee.co.th/product/155910833/52560521165,https://s.shopee.co.th/1AFQdcOXs
40653180269,"Leycus ขาตั้งทีวี แบบตั้งโต๊ะ TV Stand สำหรับทีวีขนาด 26-70 นิ้ว LCD,LED,Plasma ฐานที่หนาขึ้น รับน้ำหนัก55Kg",399,1พัน+,LEYCUS,10%,฿39.90,https://shopee.co.th/product/1228689597/40653180269,https://s.shopee.co.th/BTfcwblCv
